Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 16 running estimator on chunk 16360000 - 16370000
Process 16 running estimator on chunk 16660000 - 16670000
Process 16 running estimator on chunk 16960000 - 16970000
Process 16 running estimator on chunk 17260000 - 17270000
Process 16 running estimator on chunk 17560000 - 17570000
Process 16 running estimator on chunk 17860000 - 17870000
Process 16 running estimator on chunk 18160000 - 18170000
Process 16 running estimator on chunk 18460000 - 18470000
Process 16 running estimator on chunk 18760000 - 18770000
Process 16 running estimator on chunk 19060000 - 19070000
Process 16 running estimator on chunk 19360000 - 19370000
Process 16 running estimator on chunk 19660000 - 19670000
Process 16 running estimator on chunk 19960000 - 19970000
Process 16 running estimator on chunk 20260000 - 20270000
Process 16 running estimator on chunk 20560000 - 20570000
Process 16 running estimator on chunk 20860000 - 20870000
Process 16 running estimator on chunk 21160000 - 21170000
Process 16 running estimator on chunk 21460000 - 21470000
Process 16 running estimator on chunk 21760000 - 21770000
Process 16 running estimator on chunk 22060000 - 22070000
Process 16 running estimator on chunk 22360000 - 22370000
Process 16 running estimator on chunk 22660000 - 22670000
Process 16 running estimator on chunk 22960000 - 22970000
Process 16 running estimator on chunk 23260000 - 23270000
Process 16 running estimator on chunk 23560000 - 23570000
Process 16 running estimator on chunk 23860000 - 23870000
Process 16 running estimator on chunk 24160000 - 24170000
Process 16 running estimator on chunk 24460000 - 24470000
Process 16 running estimator on chunk 24760000 - 24770000
Process 16 running estimator on chunk 25060000 - 25070000
Process 16 running estimator on chunk 25360000 - 25370000
Process 16 running estimator on chunk 25660000 - 25670000
Process 16 running estimator on chunk 25960000 - 25970000
Process 16 running estimator on chunk 26260000 - 26270000
Process 16 running estimator on chunk 26560000 - 26570000
Process 16 running estimator on chunk 26860000 - 26870000
Process 16 running estimator on chunk 27160000 - 27170000
Process 16 running estimator on chunk 27460000 - 27470000
Process 16 running estimator on chunk 27760000 - 27770000
Process 16 running estimator on chunk 28060000 - 28070000
Process 16 running estimator on chunk 28360000 - 28370000
Process 16 running estimator on chunk 28660000 - 28670000
Process 16 running estimator on chunk 28960000 - 28970000
Process 16 running estimator on chunk 29260000 - 29270000
Process 16 running estimator on chunk 29560000 - 29570000
Process 16 running estimator on chunk 29860000 - 29870000
Process 16 running estimator on chunk 30160000 - 30170000
Process 16 running estimator on chunk 30460000 - 30470000
Process 16 running estimator on chunk 30760000 - 30770000
Process 16 running estimator on chunk 31060000 - 31070000
Process 16 running estimator on chunk 31360000 - 31370000
Process 16 running estimator on chunk 31660000 - 31670000
Process 16 running estimator on chunk 31960000 - 31970000
Process 16 running estimator on chunk 32260000 - 32270000
Process 16 running estimator on chunk 32560000 - 32570000
Process 16 running estimator on chunk 32860000 - 32870000
Process 16 running estimator on chunk 33160000 - 33170000
Process 16 running estimator on chunk 33460000 - 33470000
Process 16 running estimator on chunk 33760000 - 33770000
Process 16 running estimator on chunk 34060000 - 34070000
Process 16 running estimator on chunk 34360000 - 34370000
Process 16 running estimator on chunk 34660000 - 34670000
Process 16 running estimator on chunk 34960000 - 34970000
Process 16 running estimator on chunk 35260000 - 35270000
Process 16 running estimator on chunk 35560000 - 35570000
Process 16 running estimator on chunk 35860000 - 35870000
Process 16 running estimator on chunk 36160000 - 36170000
Process 16 running estimator on chunk 36460000 - 36470000
Process 16 running estimator on chunk 36760000 - 36770000
Process 16 running estimator on chunk 37060000 - 37070000
Process 16 running estimator on chunk 37360000 - 37370000
Process 16 running estimator on chunk 37660000 - 37670000
Process 16 running estimator on chunk 37960000 - 37970000
Process 16 running estimator on chunk 38260000 - 38270000
Process 16 running estimator on chunk 38560000 - 38570000
Process 16 running estimator on chunk 38860000 - 38870000
Process 16 running estimator on chunk 39160000 - 39170000
Process 16 running estimator on chunk 39460000 - 39470000
Process 16 running estimator on chunk 39760000 - 39770000
Process 16 running estimator on chunk 40060000 - 40070000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 17 running estimator on chunk 170000 - 180000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 17 running estimator on chunk 470000 - 480000
Process 17 running estimator on chunk 770000 - 780000
Process 17 running estimator on chunk 1070000 - 1080000
Process 17 running estimator on chunk 1370000 - 1380000
Process 17 running estimator on chunk 1670000 - 1680000
Process 17 running estimator on chunk 1970000 - 1980000
Process 17 running estimator on chunk 2270000 - 2280000
Process 17 running estimator on chunk 2570000 - 2580000
Process 17 running estimator on chunk 2870000 - 2880000
Process 17 running estimator on chunk 3170000 - 3180000
Process 17 running estimator on chunk 3470000 - 3480000
Process 17 running estimator on chunk 3770000 - 3780000
Process 17 running estimator on chunk 4070000 - 4080000
Process 17 running estimator on chunk 4370000 - 4380000
Process 17 running estimator on chunk 4670000 - 4680000
Process 17 running estimator on chunk 4970000 - 4980000
Process 17 running estimator on chunk 5270000 - 5280000
Process 17 running estimator on chunk 5570000 - 5580000
Process 17 running estimator on chunk 5870000 - 5880000
Process 17 running estimator on chunk 6170000 - 6180000
Process 17 running estimator on chunk 6470000 - 6480000
Process 17 running estimator on chunk 6770000 - 6780000
Process 17 running estimator on chunk 7070000 - 7080000
Process 17 running estimator on chunk 7370000 - 7380000
Process 17 running estimator on chunk 7670000 - 7680000
Process 17 running estimator on chunk 7970000 - 7980000
Process 17 running estimator on chunk 8270000 - 8280000
Process 17 running estimator on chunk 8570000 - 8580000
Process 17 running estimator on chunk 8870000 - 8880000
Process 17 running estimator on chunk 9170000 - 9180000
Process 17 running estimator on chunk 9470000 - 9480000
Process 17 running estimator on chunk 9770000 - 9780000
Process 17 running estimator on chunk 10070000 - 10080000
Process 17 running estimator on chunk 10370000 - 10380000
Process 17 running estimator on chunk 10670000 - 10680000
Process 17 running estimator on chunk 10970000 - 10980000
Process 17 running estimator on chunk 11270000 - 11280000
Process 17 running estimator on chunk 11570000 - 11580000
Process 17 running estimator on chunk 11870000 - 11880000
Process 17 running estimator on chunk 12170000 - 12180000
Process 17 running estimator on chunk 12470000 - 12480000
Process 17 running estimator on chunk 12770000 - 12780000
Process 17 running estimator on chunk 13070000 - 13080000
Process 17 running estimator on chunk 13370000 - 13380000
Process 17 running estimator on chunk 13670000 - 13680000
Process 17 running estimator on chunk 13970000 - 13980000
Process 17 running estimator on chunk 14270000 - 14280000
Process 17 running estimator on chunk 14570000 - 14580000
Process 17 running estimator on chunk 14870000 - 14880000
Process 17 running estimator on chunk 15170000 - 15180000
Process 17 running estimator on chunk 15470000 - 15480000
Process 17 running estimator on chunk 15770000 - 15780000
Process 17 running estimator on chunk 16070000 - 16080000
Process 17 running estimator on chunk 16370000 - 16380000
Process 17 running estimator on chunk 16670000 - 16680000
Process 17 running estimator on chunk 16970000 - 16980000
Process 17 running estimator on chunk 17270000 - 17280000
Process 17 running estimator on chunk 17570000 - 17580000
Process 17 running estimator on chunk 17870000 - 17880000
Process 17 running estimator on chunk 18170000 - 18180000
Process 17 running estimator on chunk 18470000 - 18480000
Process 17 running estimator on chunk 18770000 - 18780000
