Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 34920000 - 34930000
Process 12 running estimator on chunk 35220000 - 35230000
Process 12 running estimator on chunk 35520000 - 35530000
Process 12 running estimator on chunk 35820000 - 35830000
Process 12 running estimator on chunk 36120000 - 36130000
Process 12 running estimator on chunk 36420000 - 36430000
Process 12 running estimator on chunk 36720000 - 36730000
Process 12 running estimator on chunk 37020000 - 37030000
Process 12 running estimator on chunk 37320000 - 37330000
Process 12 running estimator on chunk 37620000 - 37630000
Process 12 running estimator on chunk 37920000 - 37930000
Process 12 running estimator on chunk 38220000 - 38230000
Process 12 running estimator on chunk 38520000 - 38530000
Process 12 running estimator on chunk 38820000 - 38830000
Process 12 running estimator on chunk 39120000 - 39130000
Process 12 running estimator on chunk 39420000 - 39430000
Process 12 running estimator on chunk 39720000 - 39730000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 10 running estimator on chunk 100000 - 110000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 10 running estimator on chunk 400000 - 410000
Process 10 running estimator on chunk 700000 - 710000
Process 10 running estimator on chunk 1000000 - 1010000
Process 10 running estimator on chunk 1300000 - 1310000
Process 10 running estimator on chunk 1600000 - 1610000
Process 10 running estimator on chunk 1900000 - 1910000
Process 10 running estimator on chunk 2200000 - 2210000
Process 10 running estimator on chunk 2500000 - 2510000
Process 10 running estimator on chunk 2800000 - 2810000
Process 10 running estimator on chunk 3100000 - 3110000
Process 10 running estimator on chunk 3400000 - 3410000
Process 10 running estimator on chunk 3700000 - 3710000
Process 10 running estimator on chunk 4000000 - 4010000
Process 10 running estimator on chunk 4300000 - 4310000
Process 10 running estimator on chunk 4600000 - 4610000
Process 10 running estimator on chunk 4900000 - 4910000
Process 10 running estimator on chunk 5200000 - 5210000
Process 10 running estimator on chunk 5500000 - 5510000
Process 10 running estimator on chunk 5800000 - 5810000
Process 10 running estimator on chunk 6100000 - 6110000
Process 10 running estimator on chunk 6400000 - 6410000
Process 10 running estimator on chunk 6700000 - 6710000
Process 10 running estimator on chunk 7000000 - 7010000
Process 10 running estimator on chunk 7300000 - 7310000
Process 10 running estimator on chunk 7600000 - 7610000
Process 10 running estimator on chunk 7900000 - 7910000
Process 10 running estimator on chunk 8200000 - 8210000
Process 10 running estimator on chunk 8500000 - 8510000
Process 10 running estimator on chunk 8800000 - 8810000
Process 10 running estimator on chunk 9100000 - 9110000
Process 10 running estimator on chunk 9400000 - 9410000
Process 10 running estimator on chunk 9700000 - 9710000
Process 10 running estimator on chunk 10000000 - 10010000
Process 10 running estimator on chunk 10300000 - 10310000
Process 10 running estimator on chunk 10600000 - 10610000
Process 10 running estimator on chunk 10900000 - 10910000
Process 10 running estimator on chunk 11200000 - 11210000
Process 10 running estimator on chunk 11500000 - 11510000
Process 10 running estimator on chunk 11800000 - 11810000
Process 10 running estimator on chunk 12100000 - 12110000
Process 10 running estimator on chunk 12400000 - 12410000
Process 10 running estimator on chunk 12700000 - 12710000
Process 10 running estimator on chunk 13000000 - 13010000
Process 10 running estimator on chunk 13300000 - 13310000
Process 10 running estimator on chunk 13600000 - 13610000
Process 10 running estimator on chunk 13900000 - 13910000
Process 10 running estimator on chunk 14200000 - 14210000
Process 10 running estimator on chunk 14500000 - 14510000
Process 10 running estimator on chunk 14800000 - 14810000
Process 10 running estimator on chunk 15100000 - 15110000
Process 10 running estimator on chunk 15400000 - 15410000
Process 10 running estimator on chunk 15700000 - 15710000
Process 10 running estimator on chunk 16000000 - 16010000
Process 10 running estimator on chunk 16300000 - 16310000
Process 10 running estimator on chunk 16600000 - 16610000
Process 10 running estimator on chunk 16900000 - 16910000
Process 10 running estimator on chunk 17200000 - 17210000
Process 10 running estimator on chunk 17500000 - 17510000
